rule_id,scanner,category,source_file,table_name,index,severity_hint
AS-GEN-001,AS,GEN,scan_agent_skills.py,CONFIG_WRITE_PATTERNS,0,
AS-GEN-002,AS,GEN,scan_agent_skills.py,CONFIG_WRITE_PATTERNS,1,
AS-GEN-003,AS,GEN,scan_agent_skills.py,CONFIG_WRITE_PATTERNS,2,
AS-GEN-004,AS,GEN,scan_agent_skills.py,MEMORY_POISONING_PATTERNS,0,
AS-GEN-005,AS,GEN,scan_agent_skills.py,MEMORY_POISONING_PATTERNS,1,
AS-GEN-006,AS,GEN,scan_agent_skills.py,MEMORY_POISONING_PATTERNS,2,
AS-GEN-007,AS,GEN,scan_agent_skills.py,MEMORY_POISONING_PATTERNS,3,
AS-GEN-008,AS,GEN,scan_agent_skills.py,PROVENANCE_STRIP_PATTERNS,0,
AS-GEN-009,AS,GEN,scan_agent_skills.py,PROVENANCE_STRIP_PATTERNS,1,
DC-GEN-001,DC,GEN,scan_devcontainer.py,SECRET_PATHS,0,
DC-GEN-002,DC,GEN,scan_devcontainer.py,SECRET_PATHS,1,
DC-GEN-003,DC,GEN,scan_devcontainer.py,SECRET_PATHS,2,
DC-GEN-004,DC,GEN,scan_devcontainer.py,SECRET_PATHS,3,
DC-GEN-005,DC,GEN,scan_devcontainer.py,SECRET_PATHS,4,
DC-GEN-006,DC,GEN,scan_devcontainer.py,SECRET_PATHS,5,
DC-GEN-007,DC,GEN,scan_devcontainer.py,SECRET_PATHS,6,
DC-GEN-008,DC,GEN,scan_devcontainer.py,SECRET_PATHS,7,
LC-GEN-001,LC,GEN,scan_lifecycle.py,PASTE_SERVICE_PATTERNS,0,
LC-GEN-002,LC,GEN,scan_lifecycle.py,PASTE_SERVICE_PATTERNS,1,
LC-GEN-003,LC,GEN,scan_lifecycle.py,PASTE_SERVICE_PATTERNS,2,
LC-GEN-004,LC,GEN,scan_lifecycle.py,PASTE_SERVICE_PATTERNS,3,
LC-GEN-005,LC,GEN,scan_lifecycle.py,PASTE_SERVICE_PATTERNS,4,
LC-GEN-006,LC,GEN,scan_lifecycle.py,AGENT_CONFIG_DIR_PATTERNS,0,
LC-GEN-007,LC,GEN,scan_lifecycle.py,AGENT_CONFIG_DIR_PATTERNS,1,
LC-GEN-008,LC,GEN,scan_lifecycle.py,AGENT_CONFIG_DIR_PATTERNS,2,
LC-GEN-009,LC,GEN,scan_lifecycle.py,AGENT_CONFIG_DIR_PATTERNS,3,
LC-GEN-010,LC,GEN,scan_lifecycle.py,AGENT_CONFIG_DIR_PATTERNS,4,
LC-GEN-011,LC,GEN,scan_lifecycle.py,AGENT_CONFIG_DIR_PATTERNS,5,
LC-GEN-012,LC,GEN,scan_lifecycle.py,ANTI_FORENSICS_PATTERNS,0,
LC-GEN-013,LC,GEN,scan_lifecycle.py,ANTI_FORENSICS_PATTERNS,1,
LC-GEN-014,LC,GEN,scan_lifecycle.py,ANTI_FORENSICS_PATTERNS,2,
LC-GEN-015,LC,GEN,scan_lifecycle.py,ANTI_FORENSICS_PATTERNS,3,
LC-GEN-016,LC,GEN,scan_lifecycle.py,ANTI_FORENSICS_PATTERNS,4,
LC-GEN-017,LC,GEN,scan_lifecycle.py,ANTI_FORENSICS_PATTERNS,5,
